,name,artists,genre
54,The Unforgiven,Metallica,"hard rock,metal,old school thrash,rock,thrash metal"
55,Demented Aggression,Cannibal Corpse,"alternative metal,brutal death metal,buffalo ny metal,death metal,metal"
56,Voice of the Soul,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
57,Crystal Mountain,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
58,Another Time - Album Edit,Kyau & Albert,"edm,german techno,progressive house,progressive trance,trance,uplifting trance"
59,Tune Jo Na Kaha,Pritam,"filmi,indian instrumental,modern bollywood"
60,The Theme - Radion6 Remix,Jurgen Vries,hard trance
61,Keith,Various Artists,
62,Shona,Jake Chudnow,
63,The Rain Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
64,Zinda,Amit Trivedi,"desi pop,filmi,modern bollywood"
65,"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4",Frédéric Chopin,"classical,early romantic era,polish classical"
66,"Boléro, M. 81",London Symphony Orchestra,"british orchestra,classical performance,orchestra"
67,"The Second Waltz, Op. 99a",André Rieu,"easy listening,operatic pop,pop violin"
68,Left to Die,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
69,Pull the Plug,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
70,Green Arrow,Yo La Tengo,"alternative rock,anti-folk,art pop,dream pop,indie pop,indie rock,lo-fi,new jersey indie,noise pop,permanent wave"
71,Starlight,Muse,"modern rock,permanent wave,rock"
72,Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
73,Roadhouse Blues,The Doors,"acid rock,classic rock,psychedelic rock,rock"
74,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
75,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
76,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
77,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
78,Khamoshiyan,Various Artists,
79,Samba Vexillographica,Devendra Banhart,freak folk
80,A Sight to Behold,Devendra Banhart,freak folk
81,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
82,Moonlight Sonata (2nd Movement),Rousseau,
83,Moonlight Sonata (3rd Movement),Rousseau,
84,Moonlight Sonata (1st Movement),Rousseau,
85,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
86,Uprising,Muse,"modern rock,permanent wave,rock"
87,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
88,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
89,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
90,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
91,Black Water,Timber Timbre,"new weird america,toronto indie"
92,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
93,Sea Horse,Devendra Banhart,freak folk
94,Sthlm Sunset,Ehrling,tropical house
95,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
96,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
97,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
98,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
99,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
100,The Sound of Silence - Electric Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
101,Mere Rashke Qamar - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
102,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave"
103,Charkha (feat. Pt. Vishwa Mohan Bhatt),Indian Ocean,"filmi,indian folk,indian fusion,indian indie,indian rock,pakistani pop"
104,Paradisum - Original Mix,Ahmed Romel,"progressive trance,progressive uplifting trance,trance,uplifting trance"
105,I've got that tune,Chinese Man,"electro swing,electronica,hip-hop experimental,nu jazz,rap marseille"
106,Road Movie,Yom,french jazz
107,Les deux guitares,Opa Tsupa,gypsy jazz
108,Gates of Albion - Paul Rigel Remix,tranzLift,progressive uplifting trance
109,Lady With The Spinning Head - Extended Dance Mix,U2,"irish rock,permanent wave,rock"
110,Years,Alesso,"dance pop,edm,electro house,pop,pop dance,tropical house"
111,432hz Sunset Breeze,Abe Hathot,432hz
112,Dharawi Nights,Secretpath,
113,Clocks,Coldplay,"permanent wave,pop"
114,بنی آدم,Coldplay,"permanent wave,pop"
115,Èkó,Coldplay,"permanent wave,pop"
116,Everyday Life,Coldplay,"permanent wave,pop"
117,Einsamer Hirte,James Last,easy listening
118,Bohemian Rhapsody,Queen,"classic rock,glam rock,rock"
119,Soundtrack Of Minus,Vivash Soni,
120,Ahir Bhairav,Various Artists,
121,Ocean,John Butler,
122,Society,Eddie Vedder,"acoustic rock,permanent wave,rock"
123,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,"classical,german romanticism,late romantic era"
124,Hard Sun,Eddie Vedder,"acoustic rock,permanent wave,rock"
125,Magic,Coldplay,"permanent wave,pop"
126,"Toccata and Fugue in D Minor, BWV 565",Johann Sebastian Bach,"baroque,classical,early music,german baroque"
127,"The Barber of Seville, Act I: Overture",Gioachino Rossini,"classical,italian opera,italian romanticism"
128,Raining Blood,Slayer,"alternative metal,death metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal"
129,We Are Young (feat. Janelle Monáe),fun.,"baroque pop,metropopolis,modern rock,pop rock"
130,Goa Groove,Vintage Key,
131,"Swan Lake, Op. 20, Act II No. 10: Scène. Moderato",Pyotr Ilyich Tchaikovsky,"classical,late romantic era,russian romanticism"
132,Rise,Eddie Vedder,"acoustic rock,permanent wave,rock"
133,Horizonte - Andy Blueman Remix,SoundLift,"progressive uplifting trance,uplifting trance"
134,The Sound of Silence - Acoustic Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
135,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
136,Do the Evolution,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
137,The Feast and The Famine,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
138,Zuul,Genix,"progressive house,progressive trance,trance,uplifting trance"
139,The Next Chapter,Genix,"progressive house,progressive trance,trance,uplifting trance"
140,Perfect,Simple Plan,"canadian pop punk,canadian punk,canadian rock,pop punk"
141,Going to California - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
142,Face Of Melinda (Remastered),Opeth,"alternative metal,metal,progressive death metal,progressive metal,swedish metal,swedish progressive metal"
143,Empty Words,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
144,The Number of the Beast - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
145,Senorita,Shankar-Ehsaan-Loy,"desi pop,filmi,modern bollywood"
146,Saibo,Sachin-Jigar,"desi pop,filmi,gujarati pop,modern bollywood"
147,Dil Kyun Yeh Mera,Rajesh Roshan,"classic bollywood,filmi,modern bollywood"
148,Everyday,Agnelli & Nelson,"classic progressive house,hard house,trance"
149,The Ultra-Violence,Death Angel,"death metal,hard rock,metal,old school thrash,thrash metal"
150,Yellow Ledbetter,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
151,All My Love - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
152,Dust in the Wind,Kansas,"album rock,art rock,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock"
153,Knockin' On Heaven's Door,Guns N' Roses,"glam metal,hard rock,rock"
154,The Unforgiven,Metallica,"hard rock,metal,old school thrash,rock,thrash metal"
155,Demented Aggression,Cannibal Corpse,"alternative metal,brutal death metal,buffalo ny metal,death metal,metal"
156,Voice of the Soul,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
157,Crystal Mountain,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
158,Another Time - Album Edit,Kyau & Albert,"edm,german techno,progressive house,progressive trance,trance,uplifting trance"
159,Tune Jo Na Kaha,Pritam,"filmi,indian instrumental,modern bollywood"
160,The Theme - Radion6 Remix,Jurgen Vries,hard trance
161,Keith,Various Artists,
162,Shona,Jake Chudnow,
163,The Rain Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
164,Zinda,Amit Trivedi,"desi pop,filmi,modern bollywood"
165,"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4",Frédéric Chopin,"classical,early romantic era,polish classical"
166,"Boléro, M. 81",London Symphony Orchestra,"british orchestra,classical performance,orchestra"
167,"The Second Waltz, Op. 99a",André Rieu,"easy listening,operatic pop,pop violin"
168,Left to Die,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
169,Pull the Plug,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
170,Green Arrow,Yo La Tengo,"alternative rock,anti-folk,art pop,dream pop,indie pop,indie rock,lo-fi,new jersey indie,noise pop,permanent wave"
171,Starlight,Muse,"modern rock,permanent wave,rock"
172,Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
173,Roadhouse Blues,The Doors,"acid rock,classic rock,psychedelic rock,rock"
174,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
175,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
176,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
177,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
178,Khamoshiyan,Various Artists,
179,Samba Vexillographica,Devendra Banhart,freak folk
180,A Sight to Behold,Devendra Banhart,freak folk
181,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
182,Moonlight Sonata (2nd Movement),Rousseau,
183,Moonlight Sonata (3rd Movement),Rousseau,
184,Moonlight Sonata (1st Movement),Rousseau,
185,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
186,Uprising,Muse,"modern rock,permanent wave,rock"
187,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
188,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
189,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
190,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
191,Black Water,Timber Timbre,"new weird america,toronto indie"
192,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
193,Sea Horse,Devendra Banhart,freak folk
194,Sthlm Sunset,Ehrling,tropical house
195,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
196,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
197,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
198,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
199,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
200,The Sound of Silence - Electric Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
201,Mere Rashke Qamar - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
202,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave"
203,Charkha (feat. Pt. Vishwa Mohan Bhatt),Indian Ocean,"filmi,indian folk,indian fusion,indian indie,indian rock,pakistani pop"
204,Paradisum - Original Mix,Ahmed Romel,"progressive trance,progressive uplifting trance,trance,uplifting trance"
205,I've got that tune,Chinese Man,"electro swing,electronica,hip-hop experimental,nu jazz,rap marseille"
206,Road Movie,Yom,french jazz
207,Les deux guitares,Opa Tsupa,gypsy jazz
208,Gates of Albion - Paul Rigel Remix,tranzLift,progressive uplifting trance
209,Lady With The Spinning Head - Extended Dance Mix,U2,"irish rock,permanent wave,rock"
210,Years,Alesso,"dance pop,edm,electro house,pop,pop dance,tropical house"
211,432hz Sunset Breeze,Abe Hathot,432hz
212,Dharawi Nights,Secretpath,
213,Clocks,Coldplay,"permanent wave,pop"
214,بنی آدم,Coldplay,"permanent wave,pop"
215,Èkó,Coldplay,"permanent wave,pop"
216,Everyday Life,Coldplay,"permanent wave,pop"
217,Einsamer Hirte,James Last,easy listening
218,Bohemian Rhapsody,Queen,"classic rock,glam rock,rock"
219,Soundtrack Of Minus,Vivash Soni,
220,Ahir Bhairav,Various Artists,
221,Ocean,John Butler,
222,Society,Eddie Vedder,"acoustic rock,permanent wave,rock"
223,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,"classical,german romanticism,late romantic era"
224,Hard Sun,Eddie Vedder,"acoustic rock,permanent wave,rock"
225,Magic,Coldplay,"permanent wave,pop"
226,"Toccata and Fugue in D Minor, BWV 565",Johann Sebastian Bach,"baroque,classical,early music,german baroque"
227,"The Barber of Seville, Act I: Overture",Gioachino Rossini,"classical,italian opera,italian romanticism"
228,Raining Blood,Slayer,"alternative metal,death metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal"
229,We Are Young (feat. Janelle Monáe),fun.,"baroque pop,metropopolis,modern rock,pop rock"
230,Goa Groove,Vintage Key,
231,"Swan Lake, Op. 20, Act II No. 10: Scène. Moderato",Pyotr Ilyich Tchaikovsky,"classical,late romantic era,russian romanticism"
232,Rise,Eddie Vedder,"acoustic rock,permanent wave,rock"
233,Horizonte - Andy Blueman Remix,SoundLift,"progressive uplifting trance,uplifting trance"
234,The Sound of Silence - Acoustic Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
235,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
236,Do the Evolution,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
237,The Feast and The Famine,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
238,Zuul,Genix,"progressive house,progressive trance,trance,uplifting trance"
239,The Next Chapter,Genix,"progressive house,progressive trance,trance,uplifting trance"
240,Perfect,Simple Plan,"canadian pop punk,canadian punk,canadian rock,pop punk"
241,Going to California - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
242,Face Of Melinda (Remastered),Opeth,"alternative metal,metal,progressive death metal,progressive metal,swedish metal,swedish progressive metal"
243,Empty Words,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
244,The Number of the Beast - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
245,Senorita,Shankar-Ehsaan-Loy,"desi pop,filmi,modern bollywood"
246,Saibo,Sachin-Jigar,"desi pop,filmi,gujarati pop,modern bollywood"
247,Dil Kyun Yeh Mera,Rajesh Roshan,"classic bollywood,filmi,modern bollywood"
248,Everyday,Agnelli & Nelson,"classic progressive house,hard house,trance"
249,The Ultra-Violence,Death Angel,"death metal,hard rock,metal,old school thrash,thrash metal"
250,Yellow Ledbetter,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
251,All My Love - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
252,Dust in the Wind,Kansas,"album rock,art rock,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock"
253,Knockin' On Heaven's Door,Guns N' Roses,"glam metal,hard rock,rock"
254,The Unforgiven,Metallica,"hard rock,metal,old school thrash,rock,thrash metal"
255,Demented Aggression,Cannibal Corpse,"alternative metal,brutal death metal,buffalo ny metal,death metal,metal"
256,Voice of the Soul,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
257,Crystal Mountain,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
258,Another Time - Album Edit,Kyau & Albert,"edm,german techno,progressive house,progressive trance,trance,uplifting trance"
259,Tune Jo Na Kaha,Pritam,"filmi,indian instrumental,modern bollywood"
260,The Theme - Radion6 Remix,Jurgen Vries,hard trance
261,Keith,Various Artists,
262,Shona,Jake Chudnow,
263,The Rain Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
264,Zinda,Amit Trivedi,"desi pop,filmi,modern bollywood"
265,"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4",Frédéric Chopin,"classical,early romantic era,polish classical"
266,"Boléro, M. 81",London Symphony Orchestra,"british orchestra,classical performance,orchestra"
267,"The Second Waltz, Op. 99a",André Rieu,"easy listening,operatic pop,pop violin"
268,Left to Die,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
269,Pull the Plug,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
270,Green Arrow,Yo La Tengo,"alternative rock,anti-folk,art pop,dream pop,indie pop,indie rock,lo-fi,new jersey indie,noise pop,permanent wave"
271,Starlight,Muse,"modern rock,permanent wave,rock"
272,Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
273,Roadhouse Blues,The Doors,"acid rock,classic rock,psychedelic rock,rock"
274,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
275,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
276,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
277,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
278,Khamoshiyan,Various Artists,
279,Samba Vexillographica,Devendra Banhart,freak folk
280,A Sight to Behold,Devendra Banhart,freak folk
281,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
282,Moonlight Sonata (2nd Movement),Rousseau,
283,Moonlight Sonata (3rd Movement),Rousseau,
284,Moonlight Sonata (1st Movement),Rousseau,
285,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
286,Uprising,Muse,"modern rock,permanent wave,rock"
287,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
288,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
289,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
290,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
291,Black Water,Timber Timbre,"new weird america,toronto indie"
292,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
293,Sea Horse,Devendra Banhart,freak folk
294,Sthlm Sunset,Ehrling,tropical house
295,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
296,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
297,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
298,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
299,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
300,The Sound of Silence - Electric Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
301,Mere Rashke Qamar - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
302,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave"
303,Charkha (feat. Pt. Vishwa Mohan Bhatt),Indian Ocean,"filmi,indian folk,indian fusion,indian indie,indian rock,pakistani pop"
304,Paradisum - Original Mix,Ahmed Romel,"progressive trance,progressive uplifting trance,trance,uplifting trance"
305,I've got that tune,Chinese Man,"electro swing,electronica,hip-hop experimental,nu jazz,rap marseille"
306,Road Movie,Yom,french jazz
307,Les deux guitares,Opa Tsupa,gypsy jazz
308,Gates of Albion - Paul Rigel Remix,tranzLift,progressive uplifting trance
309,Lady With The Spinning Head - Extended Dance Mix,U2,"irish rock,permanent wave,rock"
310,Years,Alesso,"dance pop,edm,electro house,pop,pop dance,tropical house"
311,432hz Sunset Breeze,Abe Hathot,432hz
312,Dharawi Nights,Secretpath,
313,Clocks,Coldplay,"permanent wave,pop"
314,بنی آدم,Coldplay,"permanent wave,pop"
315,Èkó,Coldplay,"permanent wave,pop"
316,Everyday Life,Coldplay,"permanent wave,pop"
317,Einsamer Hirte,James Last,easy listening
318,Bohemian Rhapsody,Queen,"classic rock,glam rock,rock"
319,Soundtrack Of Minus,Vivash Soni,
320,Ahir Bhairav,Various Artists,
321,Ocean,John Butler,
322,Society,Eddie Vedder,"acoustic rock,permanent wave,rock"
323,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,"classical,german romanticism,late romantic era"
324,Hard Sun,Eddie Vedder,"acoustic rock,permanent wave,rock"
325,Magic,Coldplay,"permanent wave,pop"
326,"Toccata and Fugue in D Minor, BWV 565",Johann Sebastian Bach,"baroque,classical,early music,german baroque"
327,"The Barber of Seville, Act I: Overture",Gioachino Rossini,"classical,italian opera,italian romanticism"
328,Raining Blood,Slayer,"alternative metal,death metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal"
329,We Are Young (feat. Janelle Monáe),fun.,"baroque pop,metropopolis,modern rock,pop rock"
330,Goa Groove,Vintage Key,
331,"Swan Lake, Op. 20, Act II No. 10: Scène. Moderato",Pyotr Ilyich Tchaikovsky,"classical,late romantic era,russian romanticism"
332,Rise,Eddie Vedder,"acoustic rock,permanent wave,rock"
333,Horizonte - Andy Blueman Remix,SoundLift,"progressive uplifting trance,uplifting trance"
334,The Sound of Silence - Acoustic Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
335,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
336,Do the Evolution,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
337,The Feast and The Famine,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
338,Zuul,Genix,"progressive house,progressive trance,trance,uplifting trance"
