,name,artists,genre
54,The Unforgiven,Metallica,"hard rock,metal,old school thrash,rock,thrash metal"
55,Demented Aggression,Cannibal Corpse,"alternative metal,brutal death metal,buffalo ny metal,death metal,metal"
56,Voice of the Soul,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
57,Crystal Mountain,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
58,Another Time - Album Edit,Kyau & Albert,"edm,german techno,progressive house,progressive trance,trance,uplifting trance"
59,Tune Jo Na Kaha,Pritam,"filmi,indian instrumental,modern bollywood"
60,The Theme - Radion6 Remix,Jurgen Vries,hard trance
61,Keith,Various Artists,
62,Shona,Jake Chudnow,
63,The Rain Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
64,Zinda,Amit Trivedi,"desi pop,filmi,modern bollywood"
65,"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4",Frédéric Chopin,"classical,early romantic era,polish classical"
66,"Boléro, M. 81",London Symphony Orchestra,"british orchestra,classical performance,orchestra"
67,"The Second Waltz, Op. 99a",André Rieu,"easy listening,operatic pop,pop violin"
68,Left to Die,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
69,Pull the Plug,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
70,Green Arrow,Yo La Tengo,"alternative rock,anti-folk,art pop,dream pop,indie pop,indie rock,lo-fi,new jersey indie,noise pop,permanent wave"
71,Starlight,Muse,"modern rock,permanent wave,rock"
72,Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
73,Roadhouse Blues,The Doors,"acid rock,classic rock,psychedelic rock,rock"
74,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
75,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
76,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
77,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
78,Khamoshiyan,Various Artists,
79,Samba Vexillographica,Devendra Banhart,freak folk
80,A Sight to Behold,Devendra Banhart,freak folk
81,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
82,Moonlight Sonata (2nd Movement),Rousseau,
83,Moonlight Sonata (3rd Movement),Rousseau,
84,Moonlight Sonata (1st Movement),Rousseau,
85,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
86,Uprising,Muse,"modern rock,permanent wave,rock"
87,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
88,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
89,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
90,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
91,Black Water,Timber Timbre,"new weird america,toronto indie"
92,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
93,Sea Horse,Devendra Banhart,freak folk
94,Sthlm Sunset,Ehrling,tropical house
95,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
96,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
97,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
98,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
99,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
100,Sometimes,Miami Horror,"alternative dance,australian dance,australian electropop,electroclash,filter house,indie soul,indietronica,new french touch,new rave,nu disco"
101,Highway to Hell,AC/DC,"australian rock,hard rock,rock"
102,Autumn Leaves,Eric Clapton,"blues rock,classic rock,electric blues,rock"
103,"An der schönen blauen Donau, Op. 314",Johann Strauss II,"classical,late romantic era,operetta"
104,Demons,Imagine Dragons,"modern rock,rock"
105,Boat Behind,Kings of Convenience,"bergen indie,melancholia,norwegian indie"
106,You Can't Always Get What You Want,The Rolling Stones,"british invasion,classic rock,rock"
107,Noor E Khuda,Shankar-Ehsaan-Loy,"desi pop,filmi,modern bollywood"
108,Kahin To,A.R. Rahman,"filmi,modern bollywood"
109,Moh Moh Ke Dhaage (Male),Anu Malik,"classic bollywood,desi pop,filmi,modern bollywood"
110,Still Loving You,Scorpions,"album rock,german hard rock,german metal,german rock,hard rock,metal,rock"
111,Patience,Guns N' Roses,"glam metal,hard rock,rock"
112,Laal Ishq,Sanjay Leela Bhansali,modern bollywood
113,Wonderwall - Remastered,Oasis,"beatlesque,britpop,madchester,permanent wave,pop rock,rock"
114,Hymn for the Weekend,Coldplay,"permanent wave,pop"
115,Jiyein Kyun,Pritam,"filmi,indian instrumental,modern bollywood"
116,Ikk Kudi,Amit Trivedi,"desi pop,filmi,modern bollywood"
117,Duaa,Vishal-Shekhar,"desi pop,filmi,modern bollywood"
118,Damn It Feels Good to Be a Gangsta,Geto Boys,"conscious hip hop,dirty south rap,g funk,gangster rap,golden age hip hop,hardcore hip hop,hip hop,old school hip hop,rap,southern hip hop"
119,Jessica,Allman Brothers Band,"album rock,blues rock,classic rock,country rock,double drumming,folk rock,hard rock,jam band,mellow gold,rock,roots rock,singer-songwriter,soft rock,southern rock"
120,Fool in the Rain - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
121,Stella,Tenishia,"deep uplifting trance,progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance"
122,L'urlo della strega,Tangerine Stoned,instrumental stoner rock
123,Revelation (Mother Earth),Ozzy Osbourne,"album rock,birmingham metal,hard rock,metal,rock"
124,Hothon Se Chhu Lo Tum - From Prem Geet,Jagjit Singh,"classic bollywood,desi pop,filmi,ghazal,hare krishna,sufi"
125,"Chopin: Nocturne No. 4 in F Major, Op. 15 No. 1",Frédéric Chopin,"classical,early romantic era,polish classical"
126,While You Sleep,Memoir Music,
127,Yeh Kya Hua,R. D. Burman,"chutney,classic bollywood,filmi,modern bollywood"
128,Rang,Various Artists,
129,Mustafa Ya Mustafa - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
130,Ligaya - Original Instrumental Mix,Gouryella,"bubble trance,dutch trance,trance,uplifting trance"
131,11 Days (ASOT 920),Armin van Buuren ASOT Radio,
132,Samba trance - Original,Hilight Tribe,"didgeridoo,psychedelic trance"
133,Aadat,Various Artists,
134,Knockin' On Heaven's Door,Bob Dylan,"classic rock,country rock,folk,folk rock,indie r&b,rock,roots rock,singer-songwriter"
135,Sayonee,Junoon,"classic pakistani pop,ghazal,pakistani pop"
136,Yeh Jo Halka Halka Suroor Hai,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
137,Sweet Pain,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
138,Tumhen Dillagi Bhool Jaani Padegi,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
139,Stan,Eminem,"detroit hip hop,hip hop,rap"
140,Space Oddity - 2015 Remaster,David Bowie,"art rock,classic rock,glam rock,permanent wave,rock"
141,Dil Haray Pukaray,Jal -The Band,"classic pakistani pop,pakistani pop"
142,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"dance pop,edm,pop,pop rap"
143,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)",Various Artists,
144,Beethoven's Silence (Concerto),Ernesto Cortazar,"new age,operatic pop"
145,Panorama,Chapter XJ,
146,The Barber of Seville: Overture,David Parry,
147,"Symphony No.40 In G Minor, K.550 - (2nd Version): 1. Molto Allegro",Wolfgang Amadeus Mozart,"classical,classical era"
148,Solar Level - Original Mix,Signum,"dutch trance,trance,uplifting trance"
149,Numb,Linkin Park,"alternative metal,nu metal,post-grunge,rap metal"
150,Ilahi,Pritam,"filmi,indian instrumental,modern bollywood"
151,Jo Bhi Main,A.R. Rahman,"filmi,modern bollywood"
152,Ajj Din Chadheya,Pritam,"filmi,indian instrumental,modern bollywood"
153,Tum Ho Toh,Shankar-Ehsaan-Loy,"desi pop,filmi,modern bollywood"
154,Sinbad The Sailor,Shankar-Ehsaan-Loy,"desi pop,filmi,modern bollywood"
155,Stand By Me - Remastered 2010,John Lennon,"album rock,art rock,beatlesque,classic rock,mellow gold,rock"
156,Main Nashe Mein Hoon,Jagjit Singh,"classic bollywood,desi pop,filmi,ghazal,hare krishna,sufi"
157,Afreen Afreen,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
158,Haawa Haawa,A.R. Rahman,"filmi,modern bollywood"
159,Chaudhary,Various Artists,
160,Like Me,Thermal And A Quarter,"bangalore indie,indian indie,indian rock"
161,Lonely,Akon,dance pop
162,I'm Missing You - Ahmed Romel Remix,Ronny K.,
163,Riders on the Storm,The Doors,"acid rock,classic rock,psychedelic rock,rock"
164,Yaaron,KK,"desi pop,filmi,modern bollywood"
165,Breathless,Shankar Mahadevan,"desi pop,filmi,modern bollywood"
166,Kabira,Pritam,"filmi,indian instrumental,modern bollywood"
167,"Tere Bin (From ""Bas Ek Pal"")",Atif Aslam,"classic pakistani pop,desi pop,filmi,modern bollywood,sufi"
168,"Khoon Chala (From ""Rang De Basanti"")",Various Artists,
169,Ya Ali,Various Artists,
170,"Yeh Kya Hua - From ""Amar Prem""",Kishore Kumar,"classic bollywood,desi pop,filmi,modern bollywood"
171,Dream On,Aerosmith,"album rock,classic rock,hard rock,rock"
172,Blowin' in the Wind,Bob Dylan,"classic rock,country rock,folk,folk rock,indie r&b,rock,roots rock,singer-songwriter"
173,Ten Years Gone - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
174,Chupke Chupke Raat Din Aansoon Bahanayaad Hai,Ghulam Ali,"classic bollywood,classic pakistani pop,filmi,ghazal,modern bollywood,sufi"
175,How to Save a Life,The Fray,"neo mellow,piano rock,pop,pop rock"
176,Kaisi Paheli Zindagani,Shantanu Moitra,"classic bollywood,filmi,modern bollywood"
177,Tu Kisi Rail Si,Indian Ocean,"filmi,indian folk,indian fusion,indian indie,indian rock,pakistani pop"
178,Sochta Hoon Ke Woh Kitne Masoom Thay,Khan songs,
179,Kun Faya Kun,A.R. Rahman,"filmi,modern bollywood"
180,Carte Blanche - Extended Mix,Veracocha,"bubble trance,dutch trance,progressive house,trance,uplifting trance"
181,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",Ludwig van Beethoven,"classical,classical era,early romantic era,german romanticism"
182,Empty,Ray LaMontagne,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
183,Mann Kasturi,Indian Ocean,"filmi,indian folk,indian fusion,indian indie,indian rock,pakistani pop"
184,Shankara,Hilight Tribe,"didgeridoo,psychedelic trance"
185,Lady With The Spinning Head (UV1),U2,"irish rock,permanent wave,rock"
186,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": II. Molto vivace",Ludwig van Beethoven,"classical,classical era,early romantic era,german romanticism"
187,Tum Se Hi,Pritam,"filmi,indian instrumental,modern bollywood"
188,Phir Se Ud Chala,A.R. Rahman,"filmi,modern bollywood"
189,Na Tum Jano Na Hum,Rajesh Roshan,"classic bollywood,filmi,modern bollywood"
190,Tum Ho,A.R. Rahman,"filmi,modern bollywood"
191,Phantom of the Opera - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
192,Back In Black,AC/DC,"australian rock,hard rock,rock"
193,Desire Of My Heart - Original Mix,Etasonic,
194,Ishvara,SoundLift,"progressive uplifting trance,uplifting trance"
195,What Happens When We End,Daniel Kandi,"danish electronic,progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance"
196,All I Ever Wanted - Radio Edit,Basshunter,"dance pop,eurodance,europop"
197,Dooba Dooba,Silk Route,"filmi,indian indie,modern bollywood"
198,When I'm Small,Phantogram,"indietronica,metropopolis,modern rock"
199,Ten Feet Tall,Afrojack,"big room,dance pop,dutch house,edm,electro house,pop dance,pop rap,progressive electro house,progressive house,tropical house"
